"(PDH-CSV 4.0) (Pacific Standard Time)(480)","\\MININT-66BN1Q1\Process(explorer)\Thread Count","\\MININT-66BN1Q1\System\System Calls/sec","\\MININT-66BN1Q1\Processor(_Total)\Interrupts/sec"
"02/12/2014 00:03:30.322","104"," "," "
"02/12/2014 00:03:31.338","104","21140.433463171677","5306.2956605668851"
"02/12/2014 00:03:32.338","104","28813.8678704474","4435.594203975128"
"02/12/2014 00:03:33.338","104","10795.65545868054","6900.5013869061941"
"02/12/2014 00:03:34.338","103","11705.779782464409","3206.3918485107074"
"02/12/2014 00:03:35.338","103","39527.4341261718","3265.2010732941408"
